Complaint,Department
Light is flickering in Admin Block.,Electrical
Hall ticket not generated in Room 204.,Others
Loose electrical wiring in Lab 1.,Electrical
Book return portal not working in Second Floor.,Library
Mess food quality is poor in Room 204.,Hostel
Garbage not collected in Lab 1.,Cleaning
Book issue system not working in Block A.,Library
Door lock is broken in Room 101.,Maintenance
No water supply in hostel in Lab 1.,Hostel
Room lock is broken in Second Floor.,Hostel
Switch board is damaged in Room 204.,Electrical
Door lock is broken in Second Floor.,Maintenance
Power socket not working in Lab 1.,Electrical
Digital trainer board failed in Lab 2.,ECE
General enquiry not resolved in Room 101.,Others
Power outage in classroom in First Floor.,Electrical
Dustbins are overflowing in Room 101.,Cleaning
Library internet not working in Admin Block.,Library
Bus pass issue in Block B.,Others
Campus area is dirty in Room 101.,Cleaning
Generator backup failed in Admin Block.,Electrical
Fee payment portal not working in Block B.,Others
Drinking water cooler not working in Room 204.,Hostel
Library computer not working in Room 204.,Library
Software installation required in Block A.,CSE
Garbage not collected in Room 204.,Cleaning
Fan not working in hostel room in Room 204.,Hostel
Drinking water cooler not working in Block A.,Hostel
Library internet not working in Room 204.,Library
Switch board is damaged in Lab 1.,Electrical
ID card not issued in Admin Block.,Others
Hall ticket not generated in Lab 1.,Others
General enquiry not resolved in Admin Block.,Others
Mouse is not responding in Lab 1.,CSE
Mess food quality is poor in Lab 1.,Hostel
Monitor display is blank in Lab 1.,CSE
Signal generator issue in Admin Block.,ECE
Drinking water cooler not working in Block B.,Hostel
Reading room is noisy in Block B.,Library
ID card not issued in Second Floor.,Others
Hostel WiFi not working in Second Floor.,Hostel
Hall ticket not generated in First Floor.,Others
ID card not issued in Lab 1.,Others
Website login problem in Admin Block.,Others
Broken classroom bench in Block B.,Maintenance
Garbage not collected in Room 204.,Cleaning
Library computer not working in Block A.,Library
Bonafide certificate delayed in Block A.,Others
Power outage in classroom in Second Floor.,Electrical
Digital trainer board failed in First Floor.,ECE
Insufficient seating in library in First Floor.,Library
Printer not working in Block B.,CSE
Function generator faulty in Room 101.,ECE
Internet not working in lab in Room 204.,CSE
Mouse is not responding in Block A.,CSE
Broken classroom bench in Admin Block.,Maintenance
Classroom is very dirty in Room 204.,Cleaning
Book return portal not working in Second Floor.,Library
Scholarship not received in Second Floor.,Others
Oscilloscope not working in First Floor.,ECE
Power outage in classroom in Block B.,Electrical
Wall has cracks in Room 204.,Maintenance
Power socket not working in Lab 1.,Electrical
Computer not starting in Second Floor.,CSE
Computer not starting in Block B.,CSE
Required book is unavailable in First Floor.,Library
Fan is not working in Admin Block.,Electrical
Power outage in classroom in Admin Block.,Electrical
Light is flickering in Lab 2.,Electrical
Loose electrical wiring in Lab 1.,Electrical
Light is flickering in Block B.,Electrical
Fan not working in hostel room in Block A.,Hostel
Campus area is dirty in Second Floor.,Cleaning
Printer not working in First Floor.,CSE
Campus area is dirty in Block A.,Cleaning
Door lock is broken in Lab 2.,Maintenance
Switch board is damaged in Admin Block.,Electrical
Hostel WiFi not working in Admin Block.,Hostel
Door lock is broken in Admin Block.,Maintenance
Microcontroller kit not working in Room 204.,ECE
Internet not working in lab in Room 101.,CSE
Water leaking from ceiling in Block B.,Maintenance
Computer not starting in Second Floor.,CSE
Signal generator issue in First Floor.,ECE
Floor needs mopping in Block B.,Cleaning
Software installation required in Room 101.,CSE
Function generator faulty in Lab 1.,ECE
Bathroom is dirty in Second Floor.,Hostel
Website login problem in Room 101.,Others
Generator backup failed in First Floor.,Electrical
Lab equipment is faulty in Second Floor.,ECE
Fee payment portal not working in Room 101.,Others
Computer not starting in First Floor.,CSE
Book return portal not working in Admin Block.,Library
Staircase is dusty in Admin Block.,Cleaning
Function generator faulty in Block B.,ECE
Room lock is broken in Room 101.,Hostel
Library AC not working in Room 204.,Library
Bathroom is dirty in Lab 1.,Hostel
Reading room is noisy in Second Floor.,Library
Tube light not working in Lab 1.,Electrical
Bathroom is dirty in First Floor.,Hostel
Scholarship not received in Room 204.,Others
Mess food quality is poor in Room 101.,Hostel
Bad smell in corridor in Block A.,Cleaning
Bathroom is dirty in Room 101.,Hostel
Digital trainer board failed in Block A.,ECE
Staircase is dusty in Admin Block.,Cleaning
Insufficient seating in library in Second Floor.,Library
Garbage not collected in First Floor.,Cleaning
Signal generator issue in Room 204.,ECE
ID card not issued in Room 101.,Others
Garbage not collected in Lab 2.,Cleaning
Window glass is broken in Block A.,Maintenance
Campus area is dirty in Lab 1.,Cleaning
General enquiry not resolved in Admin Block.,Others
No water supply in hostel in Block B.,Hostel
Bad smell in corridor in Block A.,Cleaning
Microcontroller kit not working in Admin Block.,ECE
Wall has cracks in Block A.,Maintenance
Generator backup failed in First Floor.,Electrical
Campus area is dirty in Lab 1.,Cleaning
Book return portal not working in First Floor.,Library
Library internet not working in Second Floor.,Library
Library AC not working in First Floor.,Library
Printer not working in Block B.,CSE
No water supply in hostel in Block B.,Hostel
Water leaking from ceiling in Block A.,Maintenance
Bonafide certificate delayed in Room 204.,Others
Plumbing problem in Block A.,Maintenance
Washroom needs cleaning in Admin Block.,Cleaning
Mouse is not responding in Lab 2.,CSE
System is running very slow in Admin Block.,CSE
Book issue system not working in Lab 2.,Library
Light is flickering in Second Floor.,Electrical
Keyboard not working in First Floor.,CSE
Arduino board not detected in Room 204.,ECE
Arduino board not detected in Admin Block.,ECE
Wall has cracks in Block B.,Maintenance
Signal generator issue in First Floor.,ECE
Website login problem in Room 101.,Others
Power outage in classroom in Room 101.,Electrical
Water leaking from ceiling in Lab 1.,Maintenance
Reading room is noisy in Lab 1.,Library
Function generator faulty in Room 204.,ECE
Fan is not working in Lab 2.,Electrical
Window glass is broken in Room 204.,Maintenance
Software installation required in Block A.,CSE
Library computer not working in Room 101.,Library
Generator backup failed in First Floor.,Electrical
Reading room is noisy in Room 204.,Library
Signal generator issue in Room 204.,ECE
Microcontroller kit not working in First Floor.,ECE
Oscilloscope not working in Room 101.,ECE
Roof seepage issue in Block A.,Maintenance
Internet not working in lab in Lab 2.,CSE
Loose electrical wiring in Block B.,Electrical
Scholarship not received in Second Floor.,Others
Bathroom is dirty in Block B.,Hostel
Loose electrical wiring in First Floor.,Electrical
Staircase is dusty in First Floor.,Cleaning
Fan is not working in First Floor.,Electrical
System is running very slow in Block A.,CSE
Insufficient seating in library in Second Floor.,Library
Tap is leaking in Lab 1.,Maintenance
Breadboard is damaged in Lab 2.,ECE
Bus pass issue in Room 204.,Others
No water supply in hostel in Block B.,Hostel
Function generator faulty in Room 204.,ECE
Tap is leaking in Room 204.,Maintenance
Broken classroom bench in Lab 1.,Maintenance
Book issue system not working in Lab 1.,Library
Power socket not working in Room 204.,Electrical
Broken classroom bench in First Floor.,Maintenance
Computer not starting in Room 204.,CSE
Required book is unavailable in Block A.,Library
ID card not issued in First Floor.,Others
Switch board is damaged in Block B.,Electrical
Power outage in classroom in Second Floor.,Electrical
Digital trainer board failed in Lab 2.,ECE
Power outage in classroom in Admin Block.,Electrical
Oscilloscope not working in First Floor.,ECE
Bus pass issue in Block A.,Others
ID card not issued in Lab 1.,Others
Bad smell in corridor in Room 101.,Cleaning
General enquiry not resolved in Room 101.,Others
General enquiry not resolved in Admin Block.,Others
Digital trainer board failed in Lab 2.,ECE
Power socket not working in Lab 1.,Electrical
Room lock is broken in Block B.,Hostel
Bonafide certificate delayed in Block B.,Others
Washroom needs cleaning in Second Floor.,Cleaning
Oscilloscope not working in Lab 2.,ECE
Light is flickering in Block B.,Electrical
Switch board is damaged in Block A.,Electrical
No water supply in hostel in Block A.,Hostel
Fan not working in hostel room in Second Floor.,Hostel
Tap is leaking in Lab 1.,Maintenance
Keyboard not working in Second Floor.,CSE
Scholarship not received in Second Floor.,Others
Dustbins are overflowing in Admin Block.,Cleaning
Broken classroom bench in Second Floor.,Maintenance
Staircase is dusty in Block B.,Cleaning
Water leaking from ceiling in Block A.,Maintenance
Window glass is broken in Block B.,Maintenance
General enquiry not resolved in Second Floor.,Others
Light is flickering in Admin Block.,Electrical
Hostel WiFi not working in Block A.,Hostel
Bonafide certificate delayed in Lab 1.,Others
Library internet not working in Admin Block.,Library
Internet not working in lab in Lab 2.,CSE
Tap is leaking in Room 204.,Maintenance
Hostel room needs cleaning in Lab 1.,Hostel
Garbage not collected in Lab 2.,Cleaning
Generator backup failed in Room 101.,Electrical
Classroom is very dirty in Lab 1.,Cleaning
Power socket not working in Second Floor.,Electrical
Printer not working in Lab 2.,CSE
Room lock is broken in Room 101.,Hostel
Fan not working in hostel room in Room 101.,Hostel
Printer not working in Room 101.,CSE
Loose electrical wiring in Block A.,Electrical
Plumbing problem in Lab 2.,Maintenance
Classroom is very dirty in Lab 2.,Cleaning
Oscilloscope not working in Room 101.,ECE
Switch board is damaged in Second Floor.,Electrical
Campus area is dirty in Block B.,Cleaning
Power socket not working in Second Floor.,Electrical
Hostel room needs cleaning in Block B.,Hostel
Computer not starting in Room 204.,CSE
Garbage not collected in Admin Block.,Cleaning
Internet not working in lab in Block B.,CSE
Floor needs mopping in Block B.,Cleaning
Bus pass issue in Block A.,Others
Campus area is dirty in Block A.,Cleaning
Hostel WiFi not working in Block A.,Hostel
Lab equipment is faulty in Second Floor.,ECE
Dustbins are overflowing in Room 204.,Cleaning
Internet not working in lab in Lab 1.,CSE
Microcontroller kit not working in Second Floor.,ECE
Tap is leaking in Room 101.,Maintenance
Digital trainer board failed in Block B.,ECE
Tube light not working in Room 101.,Electrical
Campus area is dirty in Lab 1.,Cleaning
Book issue system not working in Room 204.,Library
Website login problem in Block B.,Others
Tap is leaking in First Floor.,Maintenance
Software installation required in Block A.,CSE
Staircase is dusty in Block B.,Cleaning
Dustbins are overflowing in Block B.,Cleaning
Library computer not working in Block B.,Library
Fan is not working in Admin Block.,Electrical
Light is flickering in Admin Block.,Electrical
Dustbins are overflowing in Lab 1.,Cleaning
General enquiry not resolved in Lab 2.,Others
Bad smell in corridor in Lab 2.,Cleaning
General enquiry not resolved in Block A.,Others
Water leaking from ceiling in Block A.,Maintenance
Door lock is broken in Lab 2.,Maintenance
Mess food quality is poor in First Floor.,Hostel
Website login problem in Room 101.,Others
General enquiry not resolved in Lab 2.,Others
Arduino board not detected in Lab 2.,ECE
Reading room is noisy in First Floor.,Library
Library computer not working in Room 101.,Library
Plumbing problem in Second Floor.,Maintenance
Washroom needs cleaning in Block A.,Cleaning
Room lock is broken in Block A.,Hostel
Book issue system not working in Admin Block.,Library
Digital trainer board failed in Lab 1.,ECE
Breadboard is damaged in Admin Block.,ECE
Fee payment portal not working in Block A.,Others
Microcontroller kit not working in Admin Block.,ECE
Drinking water cooler not working in Block B.,Hostel
Washroom needs cleaning in Lab 2.,Cleaning
Lab equipment is faulty in Admin Block.,ECE
Insufficient seating in library in Lab 2.,Library
Digital trainer board failed in First Floor.,ECE
Microcontroller kit not working in Lab 1.,ECE
Generator backup failed in Block A.,Electrical
Required book is unavailable in Room 101.,Library
Garbage not collected in Lab 1.,Cleaning
ID card not issued in First Floor.,Others
Library internet not working in Second Floor.,Library
Broken classroom bench in First Floor.,Maintenance
Loose electrical wiring in Room 204.,Electrical
Required book is unavailable in First Floor.,Library
Tap is leaking in Second Floor.,Maintenance
Monitor display is blank in Block B.,CSE
Library AC not working in Room 101.,Library
Power outage in classroom in Block A.,Electrical
Loose electrical wiring in Second Floor.,Electrical
General enquiry not resolved in First Floor.,Others
Bonafide certificate delayed in Lab 2.,Others
Computer not starting in Block A.,CSE
Washroom needs cleaning in Admin Block.,Cleaning
Water leaking from ceiling in Second Floor.,Maintenance
Wall has cracks in First Floor.,Maintenance
Plumbing problem in Room 101.,Maintenance
ID card not issued in Lab 2.,Others
Computer not starting in First Floor.,CSE
Garbage not collected in Room 101.,Cleaning
Signal generator issue in Admin Block.,ECE
Breadboard is damaged in Block B.,ECE
Generator backup failed in Lab 1.,Electrical
Function generator faulty in Block B.,ECE
Reading room is noisy in Lab 2.,Library
Bus pass issue in Block A.,Others
Classroom is very dirty in Room 101.,Cleaning
Broken classroom bench in Room 204.,Maintenance
Power socket not working in Lab 2.,Electrical
Digital trainer board failed in First Floor.,ECE
Loose electrical wiring in Room 204.,Electrical
Keyboard not working in Admin Block.,CSE
System is running very slow in Block B.,CSE
System is running very slow in Second Floor.,CSE
Classroom is very dirty in Lab 2.,Cleaning
Bad smell in corridor in Lab 2.,Cleaning
Internet not working in lab in Lab 2.,CSE
Roof seepage issue in Admin Block.,Maintenance
Computer not starting in Block A.,CSE
Book issue system not working in Room 101.,Library
Mess food quality is poor in First Floor.,Hostel
Washroom needs cleaning in Second Floor.,Cleaning
Hostel room needs cleaning in Admin Block.,Hostel
Plumbing problem in Block B.,Maintenance
ID card not issued in Second Floor.,Others
Breadboard is damaged in Second Floor.,ECE
Garbage not collected in Block A.,Cleaning
Mouse is not responding in Second Floor.,CSE
Switch board is damaged in Second Floor.,Electrical
Room lock is broken in Block B.,Hostel
Software installation required in Block B.,CSE
Lab equipment is faulty in Room 204.,ECE
System is running very slow in Lab 1.,CSE
Library computer not working in First Floor.,Library
System is running very slow in Block B.,CSE
Microcontroller kit not working in Block B.,ECE
Fan not working in hostel room in Admin Block.,Hostel
Switch board is damaged in Room 101.,Electrical
Required book is unavailable in Admin Block.,Library
Garbage not collected in Block A.,Cleaning
Hostel WiFi not working in Second Floor.,Hostel
Door lock is broken in Room 101.,Maintenance
Insufficient seating in library in Lab 2.,Library
Bonafide certificate delayed in Block B.,Others
Computer not starting in Lab 2.,CSE
Arduino board not detected in Block B.,ECE
Reading room is noisy in Block B.,Library
Website login problem in Admin Block.,Others
Mess food quality is poor in Admin Block.,Hostel
Drinking water cooler not working in Admin Block.,Hostel
Scholarship not received in Second Floor.,Others
Window glass is broken in Block B.,Maintenance
Microcontroller kit not working in Lab 2.,ECE
Classroom is very dirty in Second Floor.,Cleaning
Signal generator issue in Second Floor.,ECE
Window glass is broken in Admin Block.,Maintenance
Monitor display is blank in Block B.,CSE
Software installation required in Room 101.,CSE
Power socket not working in Room 101.,Electrical
Campus area is dirty in Admin Block.,Cleaning
Digital trainer board failed in Lab 1.,ECE
Floor needs mopping in Room 101.,Cleaning
Classroom is very dirty in Room 101.,Cleaning
Room lock is broken in Admin Block.,Hostel
Dustbins are overflowing in Lab 2.,Cleaning
Signal generator issue in First Floor.,ECE
System is running very slow in First Floor.,CSE
Library computer not working in Block A.,Library
Breadboard is damaged in Admin Block.,ECE
Scholarship not received in First Floor.,Others
General enquiry not resolved in Admin Block.,Others
Garbage not collected in Room 101.,Cleaning
No water supply in hostel in First Floor.,Hostel
Door lock is broken in Lab 2.,Maintenance
Internet not working in lab in Admin Block.,CSE
Room lock is broken in Block B.,Hostel
Bus pass issue in Block A.,Others
Book return portal not working in Lab 2.,Library
Computer not starting in Room 101.,CSE
Classroom is very dirty in Lab 2.,Cleaning
Staircase is dusty in Room 101.,Cleaning
Hall ticket not generated in Second Floor.,Others
Tap is leaking in Room 204.,Maintenance
Book return portal not working in Admin Block.,Library
Bus pass issue in Lab 1.,Others
Mess food quality is poor in Admin Block.,Hostel
System is running very slow in Second Floor.,CSE
Power socket not working in Lab 1.,Electrical
Book return portal not working in Block B.,Library
Campus area is dirty in First Floor.,Cleaning
Bad smell in corridor in Room 101.,Cleaning
Power socket not working in Block B.,Electrical
Power outage in classroom in Room 101.,Electrical
Monitor display is blank in Admin Block.,CSE
Dustbins are overflowing in Lab 1.,Cleaning
Drinking water cooler not working in Room 204.,Hostel
Dustbins are overflowing in Lab 2.,Cleaning
Power socket not working in Block A.,Electrical
Scholarship not received in Block B.,Others
Computer not starting in Lab 1.,CSE
Software installation required in Second Floor.,CSE
Bonafide certificate delayed in Block B.,Others
Roof seepage issue in Block A.,Maintenance
Power outage in classroom in Lab 2.,Electrical
System is running very slow in Second Floor.,CSE
Staircase is dusty in Lab 1.,Cleaning
No water supply in hostel in Second Floor.,Hostel
Generator backup failed in Lab 1.,Electrical
Window glass is broken in Block B.,Maintenance
Water leaking from ceiling in Lab 1.,Maintenance
Bonafide certificate delayed in Block B.,Others
Breadboard is damaged in Admin Block.,ECE
Campus area is dirty in Admin Block.,Cleaning
Required book is unavailable in Block A.,Library
Garbage not collected in First Floor.,Cleaning
Roof seepage issue in Lab 1.,Maintenance
Library AC not working in Block A.,Library
Internet not working in lab in Lab 1.,CSE
Fan is not working in Second Floor.,Electrical
Bad smell in corridor in Admin Block.,Cleaning
Water leaking from ceiling in Room 101.,Maintenance
Broken classroom bench in Block A.,Maintenance
Staircase is dusty in Block B.,Cleaning
Oscilloscope not working in Lab 2.,ECE
Required book is unavailable in First Floor.,Library
Plumbing problem in Block A.,Maintenance
System is running very slow in Lab 2.,CSE
Tap is leaking in Block A.,Maintenance
Washroom needs cleaning in Admin Block.,Cleaning
Switch board is damaged in Lab 2.,Electrical
Tap is leaking in Block B.,Maintenance
Window glass is broken in First Floor.,Maintenance
Plumbing problem in Room 101.,Maintenance
Library computer not working in Lab 1.,Library
Microcontroller kit not working in Block B.,ECE
Loose electrical wiring in Lab 1.,Electrical
System is running very slow in Lab 1.,CSE
Bad smell in corridor in Block B.,Cleaning
Library computer not working in First Floor.,Library
Insufficient seating in library in First Floor.,Library
Oscilloscope not working in Lab 1.,ECE
No water supply in hostel in Room 101.,Hostel
Book return portal not working in Lab 2.,Library
Library AC not working in Lab 2.,Library
Bad smell in corridor in First Floor.,Cleaning
Book issue system not working in Admin Block.,Library
Fee payment portal not working in Block B.,Others
Classroom is very dirty in Room 101.,Cleaning
Drinking water cooler not working in Block B.,Hostel
Power socket not working in Room 204.,Electrical
Bad smell in corridor in Lab 1.,Cleaning
Room lock is broken in Room 204.,Hostel
Book issue system not working in Block B.,Library
Classroom is very dirty in First Floor.,Cleaning
No water supply in hostel in Second Floor.,Hostel
System is running very slow in Lab 2.,CSE
Tap is leaking in Admin Block.,Maintenance
General enquiry not resolved in Block A.,Others
Insufficient seating in library in Lab 1.,Library
Lab equipment is faulty in Lab 1.,ECE
Generator backup failed in Second Floor.,Electrical
Bonafide certificate delayed in Lab 1.,Others
Tap is leaking in Room 204.,Maintenance
Software installation required in Lab 2.,CSE
Bus pass issue in Block B.,Others
Plumbing problem in First Floor.,Maintenance
Loose electrical wiring in Block A.,Electrical
Staircase is dusty in Room 101.,Cleaning
Breadboard is damaged in Lab 1.,ECE
Mess food quality is poor in Second Floor.,Hostel
Oscilloscope not working in Block A.,ECE
Roof seepage issue in Block A.,Maintenance
ID card not issued in First Floor.,Others
Internet not working in lab in Second Floor.,CSE
Loose electrical wiring in Lab 2.,Electrical
Internet not working in lab in Lab 2.,CSE
Campus area is dirty in Lab 2.,Cleaning
Bad smell in corridor in Block A.,Cleaning
Monitor display is blank in First Floor.,CSE
Broken classroom bench in First Floor.,Maintenance
Scholarship not received in Block A.,Others
No water supply in hostel in Lab 2.,Hostel
Digital trainer board failed in Second Floor.,ECE
Arduino board not detected in Lab 2.,ECE
Water leaking from ceiling in Lab 1.,Maintenance
Required book is unavailable in Block A.,Library
Tube light not working in Block A.,Electrical
Classroom is very dirty in Block B.,Cleaning
Power socket not working in Block A.,Electrical
Book return portal not working in Second Floor.,Library
Roof seepage issue in Second Floor.,Maintenance
Broken classroom bench in Block B.,Maintenance
Drinking water cooler not working in Room 101.,Hostel
Door lock is broken in Second Floor.,Maintenance
Microcontroller kit not working in Admin Block.,ECE
Window glass is broken in Lab 2.,Maintenance
Breadboard is damaged in Block A.,ECE
Window glass is broken in Room 204.,Maintenance
Campus area is dirty in Room 101.,Cleaning
Tube light not working in Second Floor.,Electrical
Library computer not working in First Floor.,Library
Room lock is broken in Room 204.,Hostel
ID card not issued in Block B.,Others
Tube light not working in Room 204.,Electrical
Wall has cracks in Block A.,Maintenance
Library computer not working in Lab 1.,Library
Dustbins are overflowing in Room 101.,Cleaning
Digital trainer board failed in Room 204.,ECE
Library AC not working in Second Floor.,Library
Door lock is broken in Second Floor.,Maintenance
Hall ticket not generated in Lab 1.,Others
Fan not working in hostel room in Lab 2.,Hostel
Power outage in classroom in Block A.,Electrical
Book issue system not working in Room 204.,Library
Broken classroom bench in Block A.,Maintenance
Drinking water cooler not working in Room 101.,Hostel
Bonafide certificate delayed in Block A.,Others
Insufficient seating in library in Block A.,Library
No water supply in hostel in Second Floor.,Hostel
No water supply in hostel in First Floor.,Hostel
Required book is unavailable in Lab 2.,Library
Reading room is noisy in Lab 2.,Library
Required book is unavailable in Block B.,Library
Light is flickering in Block B.,Electrical
Hostel room needs cleaning in Lab 1.,Hostel
Bathroom is dirty in Room 204.,Hostel
Door lock is broken in Second Floor.,Maintenance
Scholarship not received in Block A.,Others
General enquiry not resolved in Block A.,Others
Power outage in classroom in First Floor.,Electrical
Arduino board not detected in Lab 2.,ECE
Classroom is very dirty in Lab 1.,Cleaning
Drinking water cooler not working in Lab 2.,Hostel
Bad smell in corridor in Admin Block.,Cleaning
Garbage not collected in Lab 2.,Cleaning
Book return portal not working in Second Floor.,Library
Power socket not working in First Floor.,Electrical
Generator backup failed in Room 101.,Electrical
Hostel WiFi not working in Block B.,Hostel
Tap is leaking in First Floor.,Maintenance
Bathroom is dirty in Second Floor.,Hostel
Library internet not working in Block B.,Library
No water supply in hostel in Lab 1.,Hostel
Scholarship not received in First Floor.,Others
Garbage not collected in Second Floor.,Cleaning
Hostel room needs cleaning in Lab 1.,Hostel
Staircase is dusty in Second Floor.,Cleaning
Software installation required in Block B.,CSE
Room lock is broken in Lab 2.,Hostel
General enquiry not resolved in Second Floor.,Others
Tube light not working in Lab 1.,Electrical
Bus pass issue in Block A.,Others
Plumbing problem in Block A.,Maintenance
Campus area is dirty in Block A.,Cleaning
Scholarship not received in Room 101.,Others
Breadboard is damaged in Room 101.,ECE
Door lock is broken in Admin Block.,Maintenance
Digital trainer board failed in Block B.,ECE
Wall has cracks in First Floor.,Maintenance
Fan is not working in Room 101.,Electrical
Insufficient seating in library in First Floor.,Library
Internet not working in lab in Room 204.,CSE
Drinking water cooler not working in Block A.,Hostel
Washroom needs cleaning in Block A.,Cleaning
Loose electrical wiring in Lab 2.,Electrical
Reading room is noisy in Lab 2.,Library
Reading room is noisy in Room 101.,Library
No water supply in hostel in Block B.,Hostel
Website login problem in Lab 2.,Others
Hall ticket not generated in Block B.,Others
Scholarship not received in Lab 1.,Others
Hostel WiFi not working in Block A.,Hostel
General enquiry not resolved in Lab 1.,Others
Library computer not working in Second Floor.,Library
Reading room is noisy in Lab 1.,Library
Insufficient seating in library in Lab 2.,Library
Microcontroller kit not working in First Floor.,ECE
Arduino board not detected in Room 101.,ECE
Mouse is not responding in Room 101.,CSE
Garbage not collected in Lab 1.,Cleaning
Computer not starting in First Floor.,CSE
Switch board is damaged in Lab 1.,Electrical
Campus area is dirty in Lab 2.,Cleaning
Arduino board not detected in Block B.,ECE
Monitor display is blank in First Floor.,CSE
Signal generator issue in Room 101.,ECE
Bad smell in corridor in Lab 1.,Cleaning
Printer not working in First Floor.,CSE
Campus area is dirty in Block B.,Cleaning
Monitor display is blank in Room 101.,CSE
Bus pass issue in Lab 2.,Others
Washroom needs cleaning in Block A.,Cleaning
Fee payment portal not working in Block B.,Others
Mouse is not responding in Block B.,CSE
Bad smell in corridor in Second Floor.,Cleaning
Mouse is not responding in First Floor.,CSE
ID card not issued in Room 101.,Others
Door lock is broken in Lab 2.,Maintenance
Generator backup failed in Room 204.,Electrical
Printer not working in Room 101.,CSE
Software installation required in Lab 2.,CSE
Computer not starting in Room 204.,CSE
Loose electrical wiring in Second Floor.,Electrical
Website login problem in Room 204.,Others
Bonafide certificate delayed in Admin Block.,Others
Mouse is not responding in Room 204.,CSE
Internet not working in lab in Lab 2.,CSE
Classroom is very dirty in Block B.,Cleaning
Dustbins are overflowing in Lab 2.,Cleaning
Hostel room needs cleaning in Lab 1.,Hostel
Broken classroom bench in Block B.,Maintenance
Plumbing problem in Lab 1.,Maintenance
Software installation required in Room 101.,CSE
Washroom needs cleaning in Lab 1.,Cleaning
Drinking water cooler not working in Lab 1.,Hostel
Monitor display is blank in Lab 1.,CSE
Function generator faulty in Lab 1.,ECE
Washroom needs cleaning in Second Floor.,Cleaning
Printer not working in Room 101.,CSE
ID card not issued in Second Floor.,Others
Power socket not working in Second Floor.,Electrical
Fan is not working in Second Floor.,Electrical
Roof seepage issue in Lab 2.,Maintenance
Microcontroller kit not working in First Floor.,ECE
Bonafide certificate delayed in Block B.,Others
Fan not working in hostel room in Lab 1.,Hostel
Required book is unavailable in Lab 1.,Library
Water leaking from ceiling in Second Floor.,Maintenance
Microcontroller kit not working in First Floor.,ECE
Mess food quality is poor in Lab 2.,Hostel
Dustbins are overflowing in Room 101.,Cleaning
Bad smell in corridor in First Floor.,Cleaning
Hall ticket not generated in Block A.,Others
Library AC not working in Lab 2.,Library
Internet not working in lab in Lab 1.,CSE
Power socket not working in Admin Block.,Electrical
Roof seepage issue in First Floor.,Maintenance
Bonafide certificate delayed in Second Floor.,Others
Mouse is not responding in Block A.,CSE
Function generator faulty in Room 101.,ECE
Software installation required in Room 101.,CSE
Power outage in classroom in Block A.,Electrical
Door lock is broken in Room 101.,Maintenance
Required book is unavailable in Admin Block.,Library
System is running very slow in Admin Block.,CSE
Software installation required in Admin Block.,CSE
Roof seepage issue in Room 101.,Maintenance
Library internet not working in Lab 1.,Library
Monitor display is blank in Block A.,CSE
Book return portal not working in Second Floor.,Library
Digital trainer board failed in Lab 2.,ECE
Tube light not working in Block B.,Electrical
Signal generator issue in Block A.,ECE
ID card not issued in Lab 1.,Others
Bad smell in corridor in First Floor.,Cleaning
Mouse is not responding in Block A.,CSE
Classroom is very dirty in Second Floor.,Cleaning
Dustbins are overflowing in Lab 1.,Cleaning
Generator backup failed in Lab 2.,Electrical
Tap is leaking in Lab 2.,Maintenance
Tube light not working in First Floor.,Electrical
Fan is not working in Admin Block.,Electrical
Garbage not collected in Room 101.,Cleaning
Fan is not working in Block B.,Electrical
Monitor display is blank in Block B.,CSE
Arduino board not detected in Second Floor.,ECE
Room lock is broken in Admin Block.,Hostel
Hostel room needs cleaning in Second Floor.,Hostel
Room lock is broken in Admin Block.,Hostel
Power socket not working in Room 204.,Electrical
Classroom is very dirty in Lab 1.,Cleaning
Book return portal not working in Block A.,Library
Tube light not working in Lab 2.,Electrical
Staircase is dusty in Lab 2.,Cleaning
Room lock is broken in First Floor.,Hostel
Staircase is dusty in Block A.,Cleaning
Digital trainer board failed in Room 101.,ECE
Bad smell in corridor in Lab 2.,Cleaning
Monitor display is blank in Room 101.,CSE
Floor needs mopping in Block A.,Cleaning
Switch board is damaged in Block B.,Electrical
Hostel room needs cleaning in Room 204.,Hostel
Fan is not working in Room 204.,Electrical
Room lock is broken in Admin Block.,Hostel
Light is flickering in Block B.,Electrical
Signal generator issue in Block B.,ECE
Arduino board not detected in Lab 1.,ECE
Garbage not collected in Block B.,Cleaning
Library AC not working in Lab 1.,Library
Website login problem in First Floor.,Others
Classroom is very dirty in Room 204.,Cleaning
Arduino board not detected in Admin Block.,ECE
Room lock is broken in Second Floor.,Hostel
Breadboard is damaged in Block A.,ECE
Wall has cracks in Lab 1.,Maintenance
Drinking water cooler not working in Second Floor.,Hostel
Digital trainer board failed in Block B.,ECE
Hall ticket not generated in Lab 2.,Others
Campus area is dirty in First Floor.,Cleaning
Scholarship not received in Lab 2.,Others
Loose electrical wiring in Lab 1.,Electrical
Fan not working in hostel room in Room 101.,Hostel
Fee payment portal not working in Room 204.,Others
Garbage not collected in First Floor.,Cleaning
Oscilloscope not working in First Floor.,ECE
Library internet not working in Block B.,Library
Window glass is broken in Block B.,Maintenance
Function generator faulty in First Floor.,ECE
Power outage in classroom in Block B.,Electrical
Staircase is dusty in Second Floor.,Cleaning
Wall has cracks in Second Floor.,Maintenance
Tube light not working in Admin Block.,Electrical
